game,country,lat,long,Unnamed: 0,platform,year,Variable,playtime
Battlefield 1,Sweden,59.33,18.06,51495.0,PC,2016.0,Genre,Shooter
Battlefield 1,Sweden,59.33,18.06,68212.0,PS4,2016.0,Publisher,Electronic Arts
Battlefield 1,Sweden,59.33,18.06,68213.0,XOne,2016.0,Publisher,Electronic Arts
Battlefield 1,Sweden,59.33,18.06,68214.0,PC,2016.0,Publisher,Electronic Arts
Battlefield 1,Sweden,59.33,18.06,84931.0,PS4,2016.0,NA_Sales,1.1
Battlefield 1,Sweden,59.33,18.06,84932.0,XOne,2016.0,NA_Sales,1.28
Battlefield 1,Sweden,59.33,18.06,84933.0,PC,2016.0,NA_Sales,0.11
Battlefield 1,Sweden,59.33,18.06,101650.0,PS4,2016.0,EU_Sales,2.15
Battlefield 1,Sweden,59.33,18.06,101651.0,XOne,2016.0,EU_Sales,0.77
Battlefield 1,Sweden,59.33,18.06,101652.0,PC,2016.0,EU_Sales,0.24
Battlefield 1,Sweden,59.33,18.06,118369.0,PS4,2016.0,JP_Sales,0.21
Battlefield 1,Sweden,59.33,18.06,118370.0,XOne,2016.0,JP_Sales,0
Battlefield 1,Sweden,59.33,18.06,118371.0,PC,2016.0,JP_Sales,0
Battlefield 1,Sweden,59.33,18.06,135088.0,PS4,2016.0,Other_Sales,0.61
Battlefield 1,Sweden,59.33,18.06,135089.0,XOne,2016.0,Other_Sales,0.2
Battlefield 1,Sweden,59.33,18.06,135090.0,PC,2016.0,Other_Sales,0.03
Battlefield 1,Sweden,59.33,18.06,151807.0,PS4,2016.0,Global_Sales,4.08
Battlefield 1,Sweden,59.33,18.06,151808.0,XOne,2016.0,Global_Sales,2.25
Battlefield 1,Sweden,59.33,18.06,151809.0,PC,2016.0,Global_Sales,0.38
Battlefield 1,Sweden,59.33,18.06,168526.0,PS4,2016.0,Critic_Score,88
Battlefield 1,Sweden,59.33,18.06,168527.0,XOne,2016.0,Critic_Score,87
Battlefield 1,Sweden,59.33,18.06,168528.0,PC,2016.0,Critic_Score,88
Battlefield 1,Sweden,59.33,18.06,185245.0,PS4,2016.0,Critic_Count,31
Battlefield 1,Sweden,59.33,18.06,185246.0,XOne,2016.0,Critic_Count,37
Battlefield 1,Sweden,59.33,18.06,185247.0,PC,2016.0,Critic_Count,54
Battlefield 1,Sweden,59.33,18.06,201964.0,PS4,2016.0,User_Score,8.4
Battlefield 1,Sweden,59.33,18.06,201965.0,XOne,2016.0,User_Score,8.2
Battlefield 1,Sweden,59.33,18.06,201966.0,PC,2016.0,User_Score,7.6
Battlefield 1,Sweden,59.33,18.06,218683.0,PS4,2016.0,User_Count,809
Battlefield 1,Sweden,59.33,18.06,218684.0,XOne,2016.0,User_Count,440
Battlefield 1,Sweden,59.33,18.06,218685.0,PC,2016.0,User_Count,1137
Battlefield 1,Sweden,59.33,18.06,235402.0,PS4,2016.0,Developer,EA DICE
Battlefield 1,Sweden,59.33,18.06,235403.0,XOne,2016.0,Developer,EA DICE
Battlefield 1,Sweden,59.33,18.06,235404.0,PC,2016.0,Developer,EA DICE
Battlefield 1,Sweden,59.33,18.06,252121.0,PS4,2016.0,Rating,M
Battlefield 1,Sweden,59.33,18.06,252122.0,XOne,2016.0,Rating,M
Battlefield 1,Sweden,59.33,18.06,252123.0,PC,2016.0,Rating,M
Horizon Zero Dawn ,Switzerland,46.2,6.14,,,,,
